_id,ltable_Id,rtable_Id,ltable_Site name,ltable_Address,ltable_Phone,ltable_Zip,rtable_Site name,rtable_Address,rtable_Phone,rtable_Zip,label
2,2214,1880,Henry Booth House The World Is Yours,8026 S Cottage Grove Ave. ,,60619,SOUTH CENTRAL COMMUNITY SERVICES SOUTH CENTRAL COMMUNITY SERVICE,8316 S ELLIS AVE ,4830900,60619,0
5,2214,2214,Henry Booth House The World Is Yours,8026 S Cottage Grove Ave. ,,60619,Henry Booth House The World Is Yours,8026 S Cottage Grove Ave. ,,60619,1
6,2214,2885,Henry Booth House The World Is Yours,8026 S Cottage Grove Ave. ,,60619, Chesterfield Tom Thumb Day Care Center & Kindergarten,9208-9214 South Cottage Grove  ,8743985,60619,0
13,2663,2663, Monroe,3651 W. Shubert ,5344155,60647, Monroe,3651 W. Shubert ,5344155,60647,1
18,3083,3027, Centers for New Horizons Raymond School,3663 S Wabash Avenue ,3735673,60653, Abraham Lincoln Centre,3858 S Cottage Grove Avenue ,3736600,60653,0
19,3083,3083, Centers for New Horizons Raymond School,3663 S Wabash Avenue ,3735673,60653, Centers for New Horizons Raymond School,3663 S Wabash Avenue ,3735673,60653,1
20,3083,2291, Centers for New Horizons Raymond School,3663 S Wabash Avenue ,3735673,60653,YMCA of Metropolitan Chicago Wabash,3763 S. Wabash Ave. ,2850020,60653,0
48,690,329, Bethel New Life - Lake and Pulaski,316 N Pulaski Rd ,2653830,, Bethel New Life Bethel Child Development,316 N. Pulaski ,2653830,,0
52,515,516, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,9395115,, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,9395115,,1
53,515,1161, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,9395115,, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,9395115,,1
58,3311,3311, Carole Robertson Center For Learning,3701 W Ogden Avenue ,5228400,60623, Carole Robertson Center For Learning,3701 W Ogden Avenue ,5228400,60623,1
73,953,953, Harte,1556 E. 56Th St. ,5350870,, Harte,1556 E. 56Th St. ,5350870,,1
82,3235,3235, New Pisgah Day Care Center,8130 S Racine Avenue ,8735392,60620, New Pisgah Day Care Center,8130 S Racine Avenue ,8735392,60620,1
83,3235,3037, New Pisgah Day Care Center,8130 S Racine Avenue ,8735392,60620, Ada S. McKinley Community Services - Wright Renaissance,7939 S Western Avenue ,4768805,60620,0
86,2531,2531, Gregory,3715 W. Polk Street ,5346820,60624, Gregory,3715 W. Polk Street ,5346820,60624,1
90,2531,3305, Gregory,3715 W. Polk Street ,5346820,60624, Hansberry,4055 W Arthington Street ,5346931,60624,0
96,2531,1032, Gregory,3715 W. Polk Street ,5346820,60624, Gregory,3715 W. Polk Street ,5346820,,1
98,1134,1134, Cook,8150 S. Bishop ,5353315,, Cook,8150 S. Bishop ,5353315,,1
99,2175,2175,Gads Hill Center M & E Daycare - 79th Street Day Care,3728 W 79th St. ,5857979,60652,Gads Hill Center M & E Daycare - 79th Street Day Care,3728 W 79th St. ,5857979,60652,1
101,2175,2134,Gads Hill Center M & E Daycare - 79th Street Day Care,3728 W 79th St. ,5857979,60652,Easter Seals Society of Metropolitan Chicago Lordanchild Daycare,3344 W 79th St ,4344918,60652,0
110,2056,1782,"Chicago Public Schools Penn, William",1616 S. Avers ,5341665,60623,HULL HOUSE ASSOCIATION FCCH-MONICA PIERCE,1644 S AVERS ST ,2355342,60623,0
122,1032,1032, Gregory,3715 W. Polk Street ,5346820,, Gregory,3715 W. Polk Street ,5346820,,1
124,2267,2267,Salvation Army Teen Parenting Program,1548 W Adams ,4210327,60607,Salvation Army Teen Parenting Program,1548 W Adams ,4210327,60607,1
136,2522,2522, Gary,3740 W. 31St St. ,5341455,60623, Gary,3740 W. 31St St. ,5341455,60623,1
151,859,859, Henry Booth House - Pink's Child Care Academy,8236 S Kedzie Ave ,8637465,, Henry Booth House - Pink's Child Care Academy,8236 S Kedzie Ave ,8637465,,1
155,2291,2291,YMCA of Metropolitan Chicago Wabash,3763 S. Wabash Ave. ,2850020,60653,YMCA of Metropolitan Chicago Wabash,3763 S. Wabash Ave. ,2850020,60653,1
162,930,930, LaSalle/Andersen,1148 N. Honore ,5344276,, LaSalle/Andersen,1148 N. Honore ,5344276,,1
164,2443,2443, Cooper,1624 W. 19Th St. ,5347205,60608, Cooper,1624 W. 19Th St. ,5347205,60608,1
167,2443,2725, Cooper,1624 W. 19Th St. ,5347205,60608, Pilsen,1420 W. 17Th St. ,5347675,60608,0
175,2268,2268,South Central Community Services South Central Community Service,8316 S. Ellis Ave. ,4830900,60618,South Central Community Services South Central Community Service,8316 S. Ellis Ave. ,4830900,60618,1
176,2268,1880,South Central Community Services South Central Community Service,8316 S. Ellis Ave. ,4830900,60618,SOUTH CENTRAL COMMUNITY SERVICES SOUTH CENTRAL COMMUNITY SERVICE,8316 S ELLIS AVE ,4830900,60619,1
185,1880,2268,SOUTH CENTRAL COMMUNITY SERVICES SOUTH CENTRAL COMMUNITY SERVICE,8316 S ELLIS AVE ,4830900,60619,South Central Community Services South Central Community Service,8316 S. Ellis Ave. ,4830900,60618,1
200,2233,2233,Marcy Newberry Association Learning Tree 2,8322 S Pulaski Rd. ,8843345,60652,Marcy Newberry Association Learning Tree 2,8322 S Pulaski Rd. ,8843345,60652,1
207,1877,1877,SALVATION ARMY SOUTH SHORE BIBLE/MARANATHA HEAD START,1631 E 71ST ST ,4937500,60649,SALVATION ARMY SOUTH SHORE BIBLE/MARANATHA HEAD START,1631 E 71ST ST ,4937500,60649,1
208,1877,2186,SALVATION ARMY SOUTH SHORE BIBLE/MARANATHA HEAD START,1631 E 71ST ST ,4937500,60649,Henry Booth House Color For Tots,2550 E. 73rd St. ,3638687,60649,0
212,185,185, Marcy Newberry Association - South Harper Montessori,8358 S Stony Island Ave ,7340375,, Marcy Newberry Association - South Harper Montessori,8358 S Stony Island Ave ,7340375,,1
252,2045,2045,"Chicago Public Schools Morgan, Garrett A.",8407 S. Kerfoot ,5353366,60620,"Chicago Public Schools Morgan, Garrett A.",8407 S. Kerfoot ,5353366,60620,1
254,1385,3027,ABRAHAM LINCOLN CENTRE ABRAHAM-LINCOLN,3858 S COTTAGE GROVE ,2851390,60653, Abraham Lincoln Centre,3858 S Cottage Grove Avenue ,3736600,60653,1
260,1385,1385,ABRAHAM LINCOLN CENTRE ABRAHAM-LINCOLN,3858 S COTTAGE GROVE ,2851390,60653,ABRAHAM LINCOLN CENTRE ABRAHAM-LINCOLN,3858 S COTTAGE GROVE ,2851390,60653,1
277,2889,2889, Chicago Commons Taylor Center for New Experiences,1633 North Hamlin Avenue  ,2278551,60647, Chicago Commons Taylor Center for New Experiences,1633 North Hamlin Avenue  ,2278551,60647,1
281,2889,3092, Chicago Commons Taylor Center for New Experiences,1633 North Hamlin Avenue  ,2278551,60647, Chicago Commons - Taylor Center School,1633 N Hamlin Avenue ,2278551,60647,1
286,3092,2889, Chicago Commons - Taylor Center School,1633 N Hamlin Avenue ,2278551,60647, Chicago Commons Taylor Center for New Experiences,1633 North Hamlin Avenue  ,2278551,60647,1
290,3092,3092, Chicago Commons - Taylor Center School,1633 N Hamlin Avenue ,2278551,60647, Chicago Commons - Taylor Center School,1633 N Hamlin Avenue ,2278551,60647,1
300,1782,2056,HULL HOUSE ASSOCIATION FCCH-MONICA PIERCE,1644 S AVERS ST ,2355342,60623,"Chicago Public Schools Penn, William",1616 S. Avers ,5341665,60623,0
309,997,997, McKinley Park,2744 W. Pershing Rd ,5533661,, McKinley Park,2744 W. Pershing Rd ,5533661,,1
310,1274,1274, Centers For New Horizons - Edison L. Hoard Learning Center,3901 S State St ,5362187,, Centers For New Horizons - Edison L. Hoard Learning Center,3901 S State St ,5362187,,1
311,1000,1000, Barry,2828 N. Kilbourn ,5343455,, Barry,2828 N. Kilbourn ,5343455,,1
313,256,2397, Chicago Commons Paulo Freire,1653 W. 43rd Street ,8266260,, Chicago Commons PauloFreire,1653 W. 43rd St ,8266260,60609,1
322,2933,2933, Kidwatch Plus ,3901 North Ridgeway  ,5395431,60618, Kidwatch Plus ,3901 North Ridgeway  ,5395431,60618,1
326,204,204, Delano CPC,3905 W. Wilcox ,5346450,, Delano CPC,3905 W. Wilcox ,5346450,,1
328,2397,2397, Chicago Commons PauloFreire,1653 W. 43rd St ,8266260,60609, Chicago Commons PauloFreire,1653 W. 43rd St ,8266260,60609,1
336,2397,256, Chicago Commons PauloFreire,1653 W. 43rd St ,8266260,60609, Chicago Commons Paulo Freire,1653 W. 43rd Street ,8266260,,1
340,328,328, Locke Charter School,3141 W. Jackson ,2657232,, Locke Charter School,3141 W. Jackson ,2657232,,1
341,258,2495, Erie Neighborhood House,1701 W. Superior ,5635800,, Erie House,1701 W. Superior ,5635800,60622,1
342,258,258, Erie Neighborhood House,1701 W. Superior ,5635800,, Erie Neighborhood House,1701 W. Superior ,5635800,,1
347,3251,3251, Saint Bronislava Early Childhood Center,8716 S Colfax Avenue ,6557305,60617, Saint Bronislava Early Childhood Center,8716 S Colfax Avenue ,6557305,60617,1
349,3251,3096, Saint Bronislava Early Childhood Center,8716 S Colfax Avenue ,6557305,60617, Chicago Department of Human Services - South Chicago,8759 S Commercial Avenue ,7470331,60617,0
355,2065,873,"Chicago Public Schools Ryder, William H.",8716 S. Wallace Street ,5353843,60620, Ryder,8716 S. Wallace ,5353843,,1
357,2065,2065,"Chicago Public Schools Ryder, William H.",8716 S. Wallace Street ,5353843,60620,"Chicago Public Schools Ryder, William H.",8716 S. Wallace Street ,5353843,60620,1
363,348,348, Ada S. McKinley St. Thomas CDC,3801 S. Wabash ,2850617,, Ada S. McKinley St. Thomas CDC,3801 S. Wabash ,2850617,,1
364,348,723, Ada S. McKinley St. Thomas CDC,3801 S. Wabash ,2850617,, Ada S. McKinley Community Services - McKinley - St. Thomas,3801 S Wabash Ave ,2850617,,1
372,2495,2495, Erie House,1701 W. Superior ,5635800,60622, Erie House,1701 W. Superior ,5635800,60622,1
375,2495,258, Erie House,1701 W. Superior ,5635800,60622, Erie Neighborhood House,1701 W. Superior ,5635800,,1
378,723,723, Ada S. McKinley Community Services - McKinley - St. Thomas,3801 S Wabash Ave ,2850617,, Ada S. McKinley Community Services - McKinley - St. Thomas,3801 S Wabash Ave ,2850617,,1
386,2055,3232,Chicago Public Schools Peck School,4026 W. 59th Street ,5352450,60629, Metropolitan Family Services Children's Center,3215 W 63rd Street ,8842350,60629,0
396,3096,3251, Chicago Department of Human Services - South Chicago,8759 S Commercial Avenue ,7470331,60617, Saint Bronislava Early Childhood Center,8716 S Colfax Avenue ,6557305,60617,0
400,355,355, Frazier Preparatory Academy,4027 W. Grenshaw ,5358653,, Frazier Preparatory Academy,4027 W. Grenshaw ,5358653,,1
414,3305,3305, Hansberry,4055 W Arthington Street ,5346931,60624, Hansberry,4055 W Arthington Street ,5346931,60624,1
421,1039,1039, Nobel,4127 W. Hirsch ,5344365,, Nobel,4127 W. Hirsch ,5344365,,1
422,744,744, McCorkle,4421 S. State St. ,5351793,, McCorkle,4421 S. State St. ,5351793,,1
423,1055,1055, Woodson South,4444 S. Evans Ave ,5351280,, Woodson South,4444 S. Evans Ave ,5351280,,1
424,382,382, Archdiocese of Chicago - St. Thomas of Canterbury,4827 N. Kenmore ,2810018,, Archdiocese of Chicago - St. Thomas of Canterbury,4827 N. Kenmore ,2810018,,1
436,2651,2651, McCutcheon,4846 N. Sheridan Rd ,5342680,60640, McCutcheon,4846 N. Sheridan Rd ,5342680,60640,1
445,1540,2522,"CHICAGO PUBLIC SCHOOLS MASON, ROSWELL B.",4216 W 19TH ST ,5341530,60623, Gary,3740 W. 31St St. ,5341455,60623,0
460,2639,2639, Marsh,9810 S. Exchange ,5356430,60617, Marsh,9810 S. Exchange ,5356430,60617,1
469,811,811, Reed,6350 S. Stewart ,5353075,, Reed,6350 S. Stewart ,5353075,,1
478,49,1669, El Valor - Little Tykes II,1723 W 35th St ,5791791,,EL VALOR LITTLE TYKES II,1723 W 35TH STREET ,5791791,60609,1
492,1408,1408,BOARD TRUSTEES-CITY COLLEGES OF CHICAGO OLIVE-HARVEY COLLEGE,10001 S WOODLAWN ,2916317,60628,BOARD TRUSTEES-CITY COLLEGES OF CHICAGO OLIVE-HARVEY COLLEGE,10001 S WOODLAWN ,2916317,60628,1
493,437,437, Archdiocese of Chicago - Queen of the Universe,7130 S. Hamlin ,5824266,, Archdiocese of Chicago - Queen of the Universe,7130 S. Hamlin ,5824266,,1
497,1669,49,EL VALOR LITTLE TYKES II,1723 W 35TH STREET ,5791791,60609, El Valor - Little Tykes II,1723 W 35th St ,5791791,,1
508,1044,1044, Henry,4250 N. St. Louis ,5345060,, Henry,4250 N. St. Louis ,5345060,,1
512,183,183, Human Resources Development Institute - Human Resources Development Institute,8151 S Western Ave ,8631145,, Human Resources Development Institute - Human Resources Development Institute,8151 S Western Ave ,8631145,,1
514,2521,2521, Gallistel,10347 S. Ewing Ave. ,5356540,60617, Gallistel,10347 S. Ewing Ave. ,5356540,60617,1
521,1139,1139, New Sullivan,8331 S. Mackinaw ,5356585,, New Sullivan,8331 S. Mackinaw ,5356585,,1
522,522,2606, Kohn,10414 S. State St. ,5355489,, Kohn,10414 S. State  ,5355489,60628,1
523,522,522, Kohn,10414 S. State St. ,5355489,, Kohn,10414 S. State St. ,5355489,,1
524,467,467, Little Elite Academy,8748 S. Aberdeen ,4487990,, Little Elite Academy,8748 S. Aberdeen ,4487990,,1
531,2606,2606, Kohn,10414 S. State  ,5355489,60628, Kohn,10414 S. State  ,5355489,60628,1
540,11,11, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,3746466,, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,3746466,,1
541,874,874, Henry Booth House - Little Elite Childcare,8748 S Aberdeen St ,4887988,, Henry Booth House - Little Elite Childcare,8748 S Aberdeen St ,4887988,,1
545,2024,2024,"Chicago Public Schools Jungman, Joseph",1746 S. Miller ,5347375,60608,"Chicago Public Schools Jungman, Joseph",1746 S. Miller ,5347375,60608,1
557,2755,2278, Salvation Army New Hope,4255 W. Division  ,7724908,60651,Westside Holistic Family Services WESTSIDE HOLISTIC FAMILY SERVICES,4909 W. Division ,9218777,60651,0
561,2755,2755, Salvation Army New Hope,4255 W. Division  ,7724908,60651, Salvation Army New Hope,4255 W. Division  ,7724908,60651,1
580,1914,1914,"Ada S. McKinley
Community Services McKinley-Trumbull Park",10530 S. Oglesby ,9785341,60617,"Ada S. McKinley
Community Services McKinley-Trumbull Park",10530 S. Oglesby ,9785341,60617,1
581,1756,1756,HENRY BOOTH HOUSE LIVING WITNESS,4259 N LARAMIE ,,60641,HENRY BOOTH HOUSE LIVING WITNESS,4259 N LARAMIE ,,60641,1
584,3214,3214, Lutheran Social Services - Rogers Park,1754 W Devon Avenue ,6354600,60660, Lutheran Social Services - Rogers Park,1754 W Devon Avenue ,6354600,60660,1
590,2500,2500, Eyes on the Future II,1773 W. Lunt ,7628045,60626, Eyes on the Future II,1773 W. Lunt ,7628045,60626,1
598,2409,2409, Children's Place Family Center,1800 N. Humboldt ,3959193,60622, Children's Place Family Center,1800 N. Humboldt ,3959193,60622,1
606,920,920, Mt. Vernon,10540 S. Morgan ,5352825,, Mt. Vernon,10540 S. Morgan ,5352825,,1
621,1203,1203, Korean American Community Services - Korean American Community Services,4300 N California Ave ,5838281,, Korean American Community Services - Korean American Community Services,4300 N California Ave ,5838281,,1
622,1203,1276, Korean American Community Services - Korean American Community Services,4300 N California Ave ,5838281,, Korean American Community Services - Korean American Community Services,4300 N California Ave ,5838281,,1
623,1276,1203, Korean American Community Services - Korean American Community Services,4300 N California Ave ,5838281,, Korean American Community Services - Korean American Community Services,4300 N California Ave ,5838281,,1
624,1276,1276, Korean American Community Services - Korean American Community Services,4300 N California Ave ,5838281,, Korean American Community Services - Korean American Community Services,4300 N California Ave ,5838281,,1
625,224,224, Children?s Developmental Institute MP,10928 S. Halsted St. ,9950600,, Children?s Developmental Institute MP,10928 S. Halsted St. ,9950600,,1
626,600,600, Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St ,6663883,, Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St ,6663883,,1
630,0,0, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,2262649,, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,2262649,,1
631,0,1226, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,2262649,, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,2262649,,1
643,2190,2190,Henry Booth House Hippity Hop Tiny Tots,11223 S. Halsted St. ,7853340,60628,Henry Booth House Hippity Hop Tiny Tots,11223 S. Halsted St. ,7853340,60628,1
647,1225,1226, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,2262649,, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,2262649,,1
649,19,1913, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,4681918,,"Ada S. McKinley
Community Services McKinley-Roseland",11410 S. Edbrooke ,4681918,60628,1
652,507,3332, YMCA of Metropolitan Chicago - Garfield Head Start/Child Developmental Center- YMCA,7 N Homan Ave ,2653900,, YMCA Garfield,7 N Homan Avenue ,2653900,60624,1
653,507,507, YMCA of Metropolitan Chicago - Garfield Head Start/Child Developmental Center- YMCA,7 N Homan Ave ,2653900,, YMCA of Metropolitan Chicago - Garfield Head Start/Child Developmental Center- YMCA,7 N Homan Ave ,2653900,,1
657,1235,1236, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,4681918,, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,4681918,,1
658,1913,1913,"Ada S. McKinley
Community Services McKinley-Roseland",11410 S. Edbrooke ,4681918,60628,"Ada S. McKinley
Community Services McKinley-Roseland",11410 S. Edbrooke ,4681918,60628,1
669,1913,19,"Ada S. McKinley
Community Services McKinley-Roseland",11410 S. Edbrooke ,4681918,60628, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,4681918,,1
673,1913,1236,"Ada S. McKinley
Community Services McKinley-Roseland",11410 S. Edbrooke ,4681918,60628, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,4681918,,1
676,2281,3332,YMCA of Metropolitan Chicago Garfield,7 N. Homan ,2653900,60624, YMCA Garfield,7 N Homan Avenue ,2653900,60624,1
679,2281,507,YMCA of Metropolitan Chicago Garfield,7 N. Homan ,2653900,60624, YMCA of Metropolitan Chicago - Garfield Head Start/Child Developmental Center- YMCA,7 N Homan Ave ,2653900,,1
690,3332,3332, YMCA Garfield,7 N Homan Avenue ,2653900,60624, YMCA Garfield,7 N Homan Avenue ,2653900,60624,1
702,2,3, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,5339011,, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,5339011,,1
704,511,3, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,5339011,, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,5339011,,1
705,511,511, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,5339011,, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,5339011,,1
706,931,931, Whistler,11533 S. Ada ,5355560,, Whistler,11533 S. Ada ,5355560,,1
708,2016,2016,"Chicago Public Schools Higgins C.A., Thomas J.",11710 S. Morgan ,5355625,60643,"Chicago Public Schools Higgins C.A., Thomas J.",11710 S. Morgan ,5355625,60643,1
711,1280,1280, Hull House Association - Leclaire-Ryder Day Care / Hull House,4410 S Laporte Ave ,7675170,, Hull House Association - Leclaire-Ryder Day Care / Hull House,4410 S Laporte Ave ,7675170,,1
713,965,965, Sayre Lang Acad,1850 N. Newland ,5343351,, Sayre Lang Acad,1850 N. Newland ,5343351,,1
714,935,935, Owens,12450 S. State St. ,5355661,, Owens,12450 S. State St. ,5355661,,1
721,2077,2077,"Chicago Public Schools Stockton, Joseph",4423 N. Magnolia ,5342510,60640,"Chicago Public Schools Stockton, Joseph",4423 N. Magnolia ,5342510,60640,1
729,546,546," Brown Academy, R.",12607 S. Union ,5355385,," Brown Academy, R.",12607 S. Union ,5355385,,1
751,1908,1908,"Ada S. McKinley
Community Services Children's Center (Halsted)",12803 S Halsted ,2645171,60628,"Ada S. McKinley
Community Services Children's Center (Halsted)",12803 S Halsted ,2645171,60628,1
757,1908,2190,"Ada S. McKinley
Community Services Children's Center (Halsted)",12803 S Halsted ,2645171,60628,Henry Booth House Hippity Hop Tiny Tots,11223 S. Halsted St. ,7853340,60628,0
760,1356,1356," Ounce of Prevention Fund, Inc.","33 West Monroe Street, Suite 2400",9223863,60603," Ounce of Prevention Fund, Inc.","33 West Monroe Street, Suite 2400",9223863,60603,1
762,56,607, Board Trustees-City Colleges of Chicago - Malcolm X College,1900 W Van Buren St ,8507000,, Board Trustees-City Colleges of Chicago - Malcolm X College,1900 W Van Buren St ,8507000,,1
763,56,56, Board Trustees-City Colleges of Chicago - Malcolm X College,1900 W Van Buren St ,8507000,, Board Trustees-City Colleges of Chicago - Malcolm X College,1900 W Van Buren St ,8507000,,1
766,607,607, Board Trustees-City Colleges of Chicago - Malcolm X College,1900 W Van Buren St ,8507000,, Board Trustees-City Colleges of Chicago - Malcolm X College,1900 W Van Buren St ,8507000,,1
773,2181,1386,Henry Booth House Allison's,34 E. 115th St. ,8404502,60628,ABRAHAM LINCOLN CENTRE LINCOLN ROSELAND,7 E 119TH ST ,2647633,60628,0
779,2181,2181,Henry Booth House Allison's,34 E. 115th St. ,8404502,60628,Henry Booth House Allison's,34 E. 115th St. ,8404502,60628,1
785,1423,2342,CAROLE ROBERTSON CENTER FOR LEARNING FCCH-MARIA CEPEDA,4500 S SAWYER AVE ,,60632, Brighton Park,3825 S. Washtenaw Ave. ,5357235,60632,0
793,1802,3098,LUTHERAN SOCIAL SERVICES OF ILLINOIS ENGLEWOOD MESSIAH,1910 W 64TH STREET ,4365110,60636, Chicago Urban Day School,1248 W 69th Street ,4833555,60636,0
799,1912,3083,"Ada S. McKinley
Community Services McKinley-Maggie Drummond",4301 S. Wabash ,3738200,60653, Centers for New Horizons Raymond School,3663 S Wabash Avenue ,3735673,60653,0
801,1912,1912,"Ada S. McKinley
Community Services McKinley-Maggie Drummond",4301 S. Wabash ,3738200,60653,"Ada S. McKinley
Community Services McKinley-Maggie Drummond",4301 S. Wabash ,3738200,60653,1
802,1912,2791,"Ada S. McKinley
Community Services McKinley-Maggie Drummond",4301 S. Wabash ,3738200,60653, St. Paul-Chaney Ford Child Care,4526 S. Wabash  ,2858721,60653,0
807,1912,364,"Ada S. McKinley
Community Services McKinley-Maggie Drummond",4301 S. Wabash ,3738200,60653, Ada S. McKinley Maggie Drummond,4301 S. Wabash ,3738200,,1
810,2991,2991, Uptown Family Care Center,4520 North Beacon Street  ,5613500,60640, Uptown Family Care Center,4520 North Beacon Street  ,5613500,60640,1
817,837,837, Henry Booth House - Love N Learn Academy,723 E 75th St ,7230338,, Henry Booth House - Love N Learn Academy,723 E 75th St ,7230338,,1
823,272,272, UIC Children?s Center II - West,1919 W. Taylor (m/c 525) Rm. 128 ,4135326,, UIC Children?s Center II - West,1919 W. Taylor (m/c 525) Rm. 128 ,4135326,,1
827,2794,2794, Stewart,4525 N. Kenmore ,5342640,60640, Stewart,4525 N. Kenmore ,5342640,60640,1
838,2885,2214, Chesterfield Tom Thumb Day Care Center & Kindergarten,9208-9214 South Cottage Grove  ,8743985,60619,Henry Booth House The World Is Yours,8026 S Cottage Grove Ave. ,,60619,0
844,2791,1912, St. Paul-Chaney Ford Child Care,4526 S. Wabash  ,2858721,60653,"Ada S. McKinley
Community Services McKinley-Maggie Drummond",4301 S. Wabash ,3738200,60653,0
850,2771,2771, Skinner,111 S. Throop ,5347790,60607, Skinner,111 S. Throop ,5347790,60607,1
